Plan,Type,RAM (GB),vCPU,Storage (GB),Bandwidth (GB),Base Price (₹/month),Specs
G.4GB,General Purpose,4,2,80,1000,₹1120.00,4 GB | RAM | 2 | vCPU | 80 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.8GB,General Purpose,8,4,160,1000,₹2240.00,8 GB | RAM | 4 | vCPU | 160 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.16GB,General Purpose,16,6,320,1000,₹4080.00,16 GB | RAM | 6 | vCPU | 320 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.32GB,General Purpose,32,8,480,1000,₹6720.00,32 GB | RAM | 8 | vCPU | 480 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.48GB,General Purpose,48,10,512,1000,₹8848.00,48 GB | RAM | 10 | vCPU | 512 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.64GB,General Purpose,64,12,640,1000,₹11360.00,64 GB | RAM | 12 | vCPU | 640 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.96GB,General Purpose,96,16,740,1000,₹15760.00,96 GB | RAM | 16 | vCPU | 740 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.128GB,General Purpose,128,16,840,1000,₹19360.00,128 GB | RAM | 16 | vCPU | 840 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.256GB,General Purpose,256,24,1280,1000,₹35520.00,256 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.4GB,Cpu Optimized,4,4,80,1000,₹1520.00,4 GB | RAM | 4 | vCPU | 80 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.8GB,Cpu Optimized,8,8,160,1000,₹3040.00,8 GB | RAM | 8 | vCPU | 160 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.16GB,Cpu Optimized,16,12,320,1000,₹5280.00,16 GB | RAM | 12 | vCPU | 320 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.32GB,Cpu Optimized,32,16,480,1000,₹8320.00,32 GB | RAM | 16 | vCPU | 480 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.48GB,Cpu Optimized,48,20,512,1000,₹10848.00,48 GB | RAM | 20 | vCPU | 512 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.64GB,Cpu Optimized,64,24,640,1000,₹13760.00,64 GB | RAM | 24 | vCPU | 640 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.96GB,Cpu Optimized,96,32,740,1000,₹18960.00,96 GB | RAM | 32 | vCPU | 740 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.128GB,Cpu Optimized,128,36,840,1000,₹22560.00,128 GB | RAM | 36 | vCPU | 840 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.256GB,Cpu Optimized,256,48,1280,1000,₹40320.00,256 GB | RAM | 48 | vCPU | 1280 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.8GB,Memory Optimized,8,1,80,1000,₹1320.00,8 GB | RAM | 1 | vCPU | 80 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.16GB,Memory Optimized,16,2,160,1000,₹2640.00,16 GB | RAM | 2 | vCPU | 160 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.32GB,Memory Optimized,32,4,320,1000,₹5280.00,32 GB | RAM | 4 | vCPU | 320 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.64GB,Memory Optimized,64,6,480,1000,₹9520.00,64 GB | RAM | 6 | vCPU | 480 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.96GB,Memory Optimized,96,8,512,1000,₹13248.00,96 GB | RAM | 8 | vCPU | 512 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.128GB,Memory Optimized,128,10,640,1000,₹17360.00,128 GB | RAM | 10 | vCPU | 640 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.192GB,Memory Optimized,192,12,740,1000,₹24560.00,192 GB | RAM | 12 | vCPU | 740 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.256GB,Memory Optimized,256,16,840,1000,₹32160.00,256 GB | RAM | 16 | vCPU | 840 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.384GB,Memory Optimized,384,24,1280,1000,₹48320.00,384 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage | 1.0 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
