plan,starting_price,specs
G.4GB,,4 GB | RAM | 2 | vCPU | 80 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.8GB,,8 GB | RAM | 4 | vCPU | 160 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.16GB,,16 GB | RAM | 6 | vCPU | 320 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.32GB,,32 GB | RAM | 8 | vCPU | 480 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.48GB,,48 GB | RAM | 10 | vCPU | 512 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.64GB,,64 GB | RAM | 12 | vCPU | 640 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.96GB,,96 GB | RAM | 16 | vCPU | 740 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.128GB,,128 GB | RAM | 16 | vCPU | 840 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
G.256GB,,256 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.4GB,,4 GB | RAM | 2 | vCPU | 80 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.8GB,,8 GB | RAM | 4 | vCPU | 160 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.16GB,,16 GB | RAM | 6 | vCPU | 320 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.32GB,,32 GB | RAM | 8 | vCPU | 480 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.48GB,,48 GB | RAM | 10 | vCPU | 512 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.64GB,,64 GB | RAM | 12 | vCPU | 640 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.96GB,,96 GB | RAM | 16 | vCPU | 740 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.128GB,,128 GB | RAM | 16 | vCPU | 840 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
C.256GB,,256 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.8GB,,8 GB | RAM | 1 | vCPU | 80 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.16GB,,16 GB | RAM | 2 | vCPU | 160 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.32GB,,32 GB | RAM | 4 | vCPU | 320 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.64GB,,64 GB | RAM | 6 | vCPU | 480 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.96GB,,96 GB | RAM | 8 | vCPU | 512 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.128GB,,128 GB | RAM | 10 | vCPU | 640 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.192GB,,192 GB | RAM | 12 | vCPU | 740 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.256GB,,256 GB | RAM | 16 | vCPU | 840 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
M.384GB,,384 GB | RAM | 24 | vCPU | 1280 GB | SSD Storage | 1 TB | Bandwidth | IPv4 | Console Access | Full Root/Administrator Access
